,crime,cuadrante,difference,end_period1,end_period2,period1_count,period2_count,population,sector,start_period1,start_period2
146,HOMICIDIO DOLOSO,N-1.3.12,-6,2020-05,2021-05,12,6,17795.0,TICOMAN,2019-06,2020-06
147,HOMICIDIO DOLOSO,N-1.3.13,0,2020-05,2021-05,0,0,17.0,TICOMAN,2019-06,2020-06
148,HOMICIDIO DOLOSO,N-1.3.2,0,2020-05,2021-05,0,0,8355.0,TICOMAN,2019-06,2020-06
149,HOMICIDIO DOLOSO,N-1.3.3,0,2020-05,2021-05,2,2,13908.0,TICOMAN,2019-06,2020-06
150,HOMICIDIO DOLOSO,N-1.3.4,1,2020-05,2021-05,1,2,7819.0,TICOMAN,2019-06,2020-06
151,HOMICIDIO DOLOSO,N-1.3.5,-1,2020-05,2021-05,1,0,9553.0,TICOMAN,2019-06,2020-06
152,HOMICIDIO DOLOSO,N-1.3.6,0,2020-05,2021-05,1,1,11019.0,TICOMAN,2019-06,2020-06
153,HOMICIDIO DOLOSO,N-1.3.7,-1,2020-05,2021-05,1,0,5652.0,TICOMAN,2019-06,2020-06
154,HOMICIDIO DOLOSO,N-1.3.8,1,2020-05,2021-05,1,2,9672.0,TICOMAN,2019-06,2020-06
155,HOMICIDIO DOLOSO,N-1.3.9,0,2020-05,2021-05,0,0,5479.0,TICOMAN,2019-06,2020-06
156,HOMICIDIO DOLOSO,N-1.4.1,0,2020-05,2021-05,0,0,6526.0,TEPEYAC,2019-06,2020-06
157,HOMICIDIO DOLOSO,N-1.4.2,2,2020-05,2021-05,1,3,4412.0,TEPEYAC,2019-06,2020-06
158,HOMICIDIO DOLOSO,N-1.4.3,0,2020-05,2021-05,1,1,9609.0,TEPEYAC,2019-06,2020-06
159,HOMICIDIO DOLOSO,N-1.4.4,-1,2020-05,2021-05,1,0,9176.0,TEPEYAC,2019-06,2020-06
160,HOMICIDIO DOLOSO,N-1.4.5,-1,2020-05,2021-05,1,0,3975.0,TEPEYAC,2019-06,2020-06
161,HOMICIDIO DOLOSO,N-1.4.6,0,2020-05,2021-05,0,0,9435.0,TEPEYAC,2019-06,2020-06
162,HOMICIDIO DOLOSO,N-1.4.7,-3,2020-05,2021-05,3,0,8722.0,TEPEYAC,2019-06,2020-06
163,HOMICIDIO DOLOSO,N-1.4.8,-2,2020-05,2021-05,3,1,9420.0,TEPEYAC,2019-06,2020-06
164,HOMICIDIO DOLOSO,N-1.4.9,-1,2020-05,2021-05,2,1,8503.0,TEPEYAC,2019-06,2020-06
165,HOMICIDIO DOLOSO,N-2.1.1,4,2020-05,2021-05,2,6,30506.0,ARAGON,2019-06,2020-06
166,HOMICIDIO DOLOSO,N-2.1.2,2,2020-05,2021-05,2,4,14445.0,ARAGON,2019-06,2020-06
167,HOMICIDIO DOLOSO,N-2.1.3,1,2020-05,2021-05,0,1,10785.0,ARAGON,2019-06,2020-06
168,HOMICIDIO DOLOSO,N-2.1.4,0,2020-05,2021-05,1,1,13015.0,ARAGON,2019-06,2020-06
169,HOMICIDIO DOLOSO,N-2.1.5,-2,2020-05,2021-05,4,2,12995.0,ARAGON,2019-06,2020-06
170,HOMICIDIO DOLOSO,N-2.1.6,0,2020-05,2021-05,0,0,14858.0,ARAGON,2019-06,2020-06
171,HOMICIDIO DOLOSO,N-2.1.7,0,2020-05,2021-05,2,2,11016.0,ARAGON,2019-06,2020-06
