,crime,cuadrante,difference,end_period1,end_period2,period1_count,period2_count,population,rank,sector,start_period1,start_period2
58,ROBO A BORDO DE MICROBUS S.V.,O-1.5.9,2,2020-05,2021-05,0,2,4382.0,1,GRANJAS,2019-06,2020-06
59,ROBO A BORDO DE MICROBUS S.V.,O-2.5.3,2,2020-05,2021-05,0,2,20163.0,1,TEZONCO,2019-06,2020-06
60,ROBO A BORDO DE MICROBUS S.V.,P-1.2.3,2,2020-05,2021-05,0,2,31166.0,1,PLATEROS,2019-06,2020-06
61,ROBO A BORDO DE MICROBUS S.V.,P-1.4.8,2,2020-05,2021-05,1,3,651.0,1,SAN ANGEL,2019-06,2020-06
62,ROBO A BORDO DE MICROBUS S.V.,P-3.3.3,2,2020-05,2021-05,0,2,1739.0,1,SOTELO,2019-06,2020-06
63,ROBO A BORDO DE MICROBUS S.V.,S-2.3.5,2,2020-05,2021-05,1,3,3719.0,1,TAXQUEÑA,2019-06,2020-06
64,ROBO A BORDO DE TAXI C.V.,C-1.3.10,2,2020-05,2021-05,0,2,892.0,1,ANGEL-ZONA ROSA,2019-06,2020-06
65,ROBO A BORDO DE TAXI C.V.,N-1.2.2,2,2020-05,2021-05,0,2,33.0,1,LINDAVISTA,2019-06,2020-06
66,ROBO A BORDO DE TAXI C.V.,N-3.3.6,2,2020-05,2021-05,0,2,13721.0,1,TLACOTAL,2019-06,2020-06
67,ROBO A BORDO DE TAXI C.V.,N-4.2.5,2,2020-05,2021-05,0,2,6618.0,1,ARENAL,2019-06,2020-06
68,ROBO A BORDO DE TAXI C.V.,N-4.2.6,2,2020-05,2021-05,0,2,4837.0,1,ARENAL,2019-06,2020-06
69,ROBO A BORDO DE TAXI C.V.,N-4.6.6,2,2020-05,2021-05,0,2,10409.0,1,MOCTEZUMA,2019-06,2020-06
70,ROBO A BORDO DE TAXI C.V.,O-1.4.4,2,2020-05,2021-05,0,2,29731.0,1,ESTRELLA,2019-06,2020-06
71,ROBO A BORDO DE TAXI C.V.,O-2.2.4,2,2020-05,2021-05,0,2,25464.0,1,QUETZAL,2019-06,2020-06
72,ROBO A BORDO DE TAXI C.V.,O-2.3.13,2,2020-05,2021-05,0,2,4332.0,1,SANTA CRUZ,2019-06,2020-06
73,ROBO A BORDO DE TAXI C.V.,P-1.1.8,2,2020-05,2021-05,0,2,22575.0,1,ALPES,2019-06,2020-06
74,ROBO A BORDO DE TAXI C.V.,P-1.2.1,2,2020-05,2021-05,0,2,9798.0,1,PLATEROS,2019-06,2020-06
75,ROBO A BORDO DE TAXI C.V.,P-2.3.7,2,2020-05,2021-05,0,2,11866.0,1,HORMIGA,2019-06,2020-06
76,ROBO A BORDO DE TAXI C.V.,P-3.3.7,2,2020-05,2021-05,0,2,1747.0,1,SOTELO,2019-06,2020-06
77,ROBO A BORDO DE TAXI C.V.,P-3.5.1,2,2020-05,2021-05,0,2,1977.0,1,TACUBAYA,2019-06,2020-06
78,ROBO A BORDO DE TAXI C.V.,S-2.3.10,2,2020-05,2021-05,0,2,6406.0,1,TAXQUEÑA,2019-06,2020-06
79,ROBO A CASA HABITACION C.V.,P-1.7.2,7,2020-05,2021-05,2,9,14678.0,1,EL YAQUI,2019-06,2020-06
80,ROBO A CASA HABITACION C.V.,N-3.1.3,4,2020-05,2021-05,0,4,13750.0,2,IZTACCIHUATL,2019-06,2020-06
81,ROBO A CASA HABITACION C.V.,O-2.5.6,4,2020-05,2021-05,0,4,17249.0,2,TEZONCO,2019-06,2020-06
82,ROBO A CASA HABITACION C.V.,O-3.3.2,4,2020-05,2021-05,3,7,23753.0,2,MIXQUIC,2019-06,2020-06
83,ROBO A CASA HABITACION C.V.,S-3.2.8,4,2020-05,2021-05,0,4,23185.0,2,SAN JERONIMO,2019-06,2020-06
84,ROBO A CASA HABITACION C.V.,S-3.4.7,4,2020-05,2021-05,0,4,7322.0,2,FUENTE,2019-06,2020-06
85,ROBO A CASA HABITACION C.V.,S-3.5.13,4,2020-05,2021-05,5,9,17069.0,2,HUIPULCO-HOSPITALES,2019-06,2020-06
86,ROBO A CUENTAHABIENTE C.V.,O-3.3.6,6,2020-05,2021-05,1,7,19073.0,1,MIXQUIC,2019-06,2020-06
87,ROBO A CUENTAHABIENTE C.V.,O-3.6.4,4,2020-05,2021-05,2,6,43511.0,2,TEPEPAN,2019-06,2020-06
88,ROBO A CUENTAHABIENTE C.V.,N-4.3.6,3,2020-05,2021-05,0,3,9859.0,3,MERCED-BALBUENA,2019-06,2020-06
89,ROBO A CUENTAHABIENTE C.V.,N-4.6.6,3,2020-05,2021-05,1,4,10409.0,3,MOCTEZUMA,2019-06,2020-06
90,ROBO A CUENTAHABIENTE C.V.,P-1.1.10,3,2020-05,2021-05,0,3,29001.0,3,ALPES,2019-06,2020-06
91,ROBO A CUENTAHABIENTE C.V.,P-1.2.9,3,2020-05,2021-05,0,3,9966.0,3,PLATEROS,2019-06,2020-06
92,ROBO A CUENTAHABIENTE C.V.,P-2.2.4,3,2020-05,2021-05,0,3,5885.0,3,CUITLAHUAC,2019-06,2020-06
93,ROBO A CUENTAHABIENTE C.V.,S-2.5.5,3,2020-05,2021-05,0,3,23279.0,3,XOTEPINGO,2019-06,2020-06
94,ROBO A NEGOCIO C.V.,N-2.1.1,13,2020-05,2021-05,2,15,30506.0,1,ARAGON,2019-06,2020-06
95,ROBO A NEGOCIO C.V.,N-4.6.11,12,2020-05,2021-05,3,15,8265.0,2,MOCTEZUMA,2019-06,2020-06
96,ROBO A NEGOCIO C.V.,O-1.3.2,11,2020-05,2021-05,5,16,13673.0,3,CHURUBUSCO,2019-06,2020-06
97,ROBO A NEGOCIO C.V.,O-3.3.4,10,2020-05,2021-05,8,18,13777.0,4,MIXQUIC,2019-06,2020-06
98,ROBO A NEGOCIO C.V.,O-1.2.1,9,2020-05,2021-05,4,13,7403.0,5,ABASTO-REFORMA,2019-06,2020-06
99,ROBO A REPARTIDOR C.V.,P-1.2.6,21,2020-05,2021-05,36,57,45966.0,1,PLATEROS,2019-06,2020-06
100,ROBO A REPARTIDOR C.V.,N-2.4.6,8,2020-05,2021-05,9,17,30408.0,2,QUIROGA,2019-06,2020-06
101,ROBO A REPARTIDOR C.V.,O-1.4.4,7,2020-05,2021-05,3,10,29731.0,3,ESTRELLA,2019-06,2020-06
102,ROBO A REPARTIDOR C.V.,O-2.2.14,7,2020-05,2021-05,7,14,23688.0,3,QUETZAL,2019-06,2020-06
103,ROBO A REPARTIDOR C.V.,O-1.4.5,6,2020-05,2021-05,4,10,17803.0,5,ESTRELLA,2019-06,2020-06
104,ROBO A REPARTIDOR C.V.,O-2.1.19,6,2020-05,2021-05,6,12,18396.0,5,OASIS,2019-06,2020-06
105,ROBO A REPARTIDOR C.V.,O-3.3.2,6,2020-05,2021-05,2,8,23753.0,5,MIXQUIC,2019-06,2020-06
106,ROBO A REPARTIDOR C.V.,P-1.1.10,6,2020-05,2021-05,2,8,29001.0,5,ALPES,2019-06,2020-06
107,ROBO A REPARTIDOR C.V.,S-3.6.7,6,2020-05,2021-05,9,15,43142.0,5,PADIERNA,2019-06,2020-06
108,ROBO A REPARTIDOR S.V.,N-3.2.6,7,2020-05,2021-05,7,14,10620.0,1,PANTITLAN,2019-06,2020-06
109,ROBO A REPARTIDOR S.V.,C-1.1.4,6,2020-05,2021-05,0,6,4116.0,2,MIXCALCO-HERALDO,2019-06,2020-06
110,ROBO A REPARTIDOR S.V.,N-3.2.2,5,2020-05,2021-05,1,6,13284.0,3,PANTITLAN,2019-06,2020-06
111,ROBO A REPARTIDOR S.V.,C-2.3.2,4,2020-05,2021-05,0,4,12649.0,4,MORELOS,2019-06,2020-06
112,ROBO A REPARTIDOR S.V.,P-1.1.2,4,2020-05,2021-05,1,5,31805.0,4,ALPES,2019-06,2020-06
113,ROBO A REPARTIDOR S.V.,P-1.1.9,4,2020-05,2021-05,0,4,19788.0,4,ALPES,2019-06,2020-06
114,ROBO A REPARTIDOR S.V.,S-2.5.1,4,2020-05,2021-05,4,8,24813.0,4,XOTEPINGO,2019-06,2020-06
115,ROBO A TRANSEUNTE C.V.,P-1.2.6,18,2020-05,2021-05,41,59,45966.0,1,PLATEROS,2019-06,2020-06
116,ROBO A TRANSEUNTE C.V.,S-2.5.1,13,2020-05,2021-05,12,25,24813.0,2,XOTEPINGO,2019-06,2020-06
117,ROBO A TRANSEUNTE C.V.,C-1.3.5,12,2020-05,2021-05,9,21,1860.0,3,REVOLUCION-ALAMEDA,2019-06,2020-06
118,ROBO A TRANSEUNTE C.V.,O-2.3.12,12,2020-05,2021-05,20,32,13439.0,3,SANTA CRUZ,2019-06,2020-06
119,ROBO A TRANSEUNTE C.V.,O-2.5.4,12,2020-05,2021-05,24,36,23894.0,3,TEZONCO,2019-06,2020-06
120,ROBO A TRANSEUNTE S.V.,P-1.2.8,8,2020-05,2021-05,2,10,44133.0,1,PLATEROS,2019-06,2020-06
121,ROBO A TRANSEUNTE S.V.,C-1.3.11,7,2020-05,2021-05,0,7,1490.0,2,ANGEL-ZONA ROSA,2019-06,2020-06
122,ROBO A TRANSEUNTE S.V.,O-3.6.3,7,2020-05,2021-05,1,8,13102.0,2,TEPEPAN,2019-06,2020-06
123,ROBO A TRANSEUNTE S.V.,C-2.1.1,6,2020-05,2021-05,0,6,9108.0,4,ASTURIAS,2019-06,2020-06
124,ROBO A TRANSEUNTE S.V.,N-1.2.9,6,2020-05,2021-05,4,10,3179.0,4,LINDAVISTA,2019-06,2020-06
125,ROBO A TRANSEUNTE S.V.,S-1.5.8,6,2020-05,2021-05,1,7,10125.0,4,PORTALES,2019-06,2020-06
126,ROBO A TRANSEUNTE S.V.,S-2.5.1,6,2020-05,2021-05,4,10,24813.0,4,XOTEPINGO,2019-06,2020-06
127,ROBO A TRANSEUNTE S.V.,S-2.5.10,6,2020-05,2021-05,1,7,12672.0,4,XOTEPINGO,2019-06,2020-06
128,ROBO A TRANSEUNTE S.V.,S-2.5.6,6,2020-05,2021-05,2,8,12406.0,4,XOTEPINGO,2019-06,2020-06
