,count,crime,end_date,hour,start_date
157,7,ROBO A TRANSPORTISTA C.V.,2021-05,07,2020-06
158,2,ROBO A TRANSPORTISTA C.V.,2021-05,09,2020-06
159,6,ROBO A TRANSPORTISTA C.V.,2021-05,10,2020-06
160,7,ROBO A TRANSPORTISTA C.V.,2021-05,11,2020-06
161,4,ROBO A TRANSPORTISTA C.V.,2021-05,12,2020-06
162,6,ROBO A TRANSPORTISTA C.V.,2021-05,13,2020-06
163,2,ROBO A TRANSPORTISTA C.V.,2021-05,14,2020-06
164,3,ROBO A TRANSPORTISTA C.V.,2021-05,15,2020-06
165,7,ROBO A TRANSPORTISTA C.V.,2021-05,16,2020-06
166,4,ROBO A TRANSPORTISTA C.V.,2021-05,17,2020-06
167,1,ROBO A TRANSPORTISTA C.V.,2021-05,18,2020-06
168,1,ROBO A TRANSPORTISTA C.V.,2021-05,19,2020-06
169,5,ROBO A TRANSPORTISTA C.V.,2021-05,20,2020-06
170,1,ROBO A TRANSPORTISTA C.V.,2021-05,22,2020-06
171,4,ROBO A TRANSPORTISTA C.V.,2021-05,23,2020-06
172,1,ROBO A BORDO DE MICROBUS C.V.,2021-05,00,2020-06
173,3,ROBO A BORDO DE MICROBUS C.V.,2021-05,04,2020-06
174,11,ROBO A BORDO DE MICROBUS C.V.,2021-05,05,2020-06
175,30,ROBO A BORDO DE MICROBUS C.V.,2021-05,06,2020-06
176,19,ROBO A BORDO DE MICROBUS C.V.,2021-05,07,2020-06
177,22,ROBO A BORDO DE MICROBUS C.V.,2021-05,08,2020-06
178,9,ROBO A BORDO DE MICROBUS C.V.,2021-05,09,2020-06
179,15,ROBO A BORDO DE MICROBUS C.V.,2021-05,10,2020-06
180,13,ROBO A BORDO DE MICROBUS C.V.,2021-05,11,2020-06
181,5,ROBO A BORDO DE MICROBUS C.V.,2021-05,12,2020-06
182,14,ROBO A BORDO DE MICROBUS C.V.,2021-05,13,2020-06
183,12,ROBO A BORDO DE MICROBUS C.V.,2021-05,14,2020-06
184,16,ROBO A BORDO DE MICROBUS C.V.,2021-05,15,2020-06
185,18,ROBO A BORDO DE MICROBUS C.V.,2021-05,16,2020-06
186,14,ROBO A BORDO DE MICROBUS C.V.,2021-05,17,2020-06
187,25,ROBO A BORDO DE MICROBUS C.V.,2021-05,18,2020-06
188,18,ROBO A BORDO DE MICROBUS C.V.,2021-05,19,2020-06
189,27,ROBO A BORDO DE MICROBUS C.V.,2021-05,20,2020-06
190,21,ROBO A BORDO DE MICROBUS C.V.,2021-05,21,2020-06
191,12,ROBO A BORDO DE MICROBUS C.V.,2021-05,22,2020-06
192,5,ROBO A BORDO DE MICROBUS C.V.,2021-05,23,2020-06
193,2,ROBO A BORDO DE METRO S.V.,2021-05,00,2020-06
194,11,ROBO A BORDO DE METRO S.V.,2021-05,01,2020-06
195,11,ROBO A BORDO DE METRO S.V.,2021-05,02,2020-06
196,14,ROBO A BORDO DE METRO S.V.,2021-05,03,2020-06
197,18,ROBO A BORDO DE METRO S.V.,2021-05,04,2020-06
198,36,ROBO A BORDO DE METRO S.V.,2021-05,05,2020-06
199,52,ROBO A BORDO DE METRO S.V.,2021-05,06,2020-06
200,74,ROBO A BORDO DE METRO S.V.,2021-05,07,2020-06
201,90,ROBO A BORDO DE METRO S.V.,2021-05,08,2020-06
202,56,ROBO A BORDO DE METRO S.V.,2021-05,09,2020-06
203,33,ROBO A BORDO DE METRO S.V.,2021-05,10,2020-06
204,28,ROBO A BORDO DE METRO S.V.,2021-05,11,2020-06
205,28,ROBO A BORDO DE METRO S.V.,2021-05,12,2020-06
206,13,ROBO A BORDO DE METRO S.V.,2021-05,13,2020-06
207,18,ROBO A BORDO DE METRO S.V.,2021-05,14,2020-06
208,16,ROBO A BORDO DE METRO S.V.,2021-05,15,2020-06
209,14,ROBO A BORDO DE METRO S.V.,2021-05,16,2020-06
210,14,ROBO A BORDO DE METRO S.V.,2021-05,17,2020-06
211,18,ROBO A BORDO DE METRO S.V.,2021-05,18,2020-06
212,27,ROBO A BORDO DE METRO S.V.,2021-05,19,2020-06
213,19,ROBO A BORDO DE METRO S.V.,2021-05,20,2020-06
214,7,ROBO A BORDO DE METRO S.V.,2021-05,21,2020-06
215,3,ROBO A BORDO DE METRO S.V.,2021-05,22,2020-06
216,3,ROBO A BORDO DE METRO S.V.,2021-05,23,2020-06
217,3,ROBO A BORDO DE MICROBUS S.V.,2021-05,01,2020-06
218,2,ROBO A BORDO DE MICROBUS S.V.,2021-05,02,2020-06
219,1,ROBO A BORDO DE MICROBUS S.V.,2021-05,03,2020-06
220,2,ROBO A BORDO DE MICROBUS S.V.,2021-05,05,2020-06
221,4,ROBO A BORDO DE MICROBUS S.V.,2021-05,06,2020-06
222,8,ROBO A BORDO DE MICROBUS S.V.,2021-05,07,2020-06
223,11,ROBO A BORDO DE MICROBUS S.V.,2021-05,08,2020-06
224,9,ROBO A BORDO DE MICROBUS S.V.,2021-05,09,2020-06
225,5,ROBO A BORDO DE MICROBUS S.V.,2021-05,10,2020-06
226,2,ROBO A BORDO DE MICROBUS S.V.,2021-05,11,2020-06
227,5,ROBO A BORDO DE MICROBUS S.V.,2021-05,12,2020-06
228,3,ROBO A BORDO DE MICROBUS S.V.,2021-05,13,2020-06
229,1,ROBO A BORDO DE MICROBUS S.V.,2021-05,14,2020-06
230,3,ROBO A BORDO DE MICROBUS S.V.,2021-05,15,2020-06
231,1,ROBO A BORDO DE MICROBUS S.V.,2021-05,16,2020-06
232,3,ROBO A BORDO DE MICROBUS S.V.,2021-05,17,2020-06
233,6,ROBO A BORDO DE MICROBUS S.V.,2021-05,18,2020-06
234,1,ROBO A BORDO DE MICROBUS S.V.,2021-05,19,2020-06
235,2,ROBO A BORDO DE MICROBUS S.V.,2021-05,20,2020-06
236,2,ROBO A BORDO DE MICROBUS S.V.,2021-05,21,2020-06
237,1,ROBO A BORDO DE MICROBUS S.V.,2021-05,23,2020-06
238,143,ROBO DE VEHICULO AUTOMOTOR S.V.,2021-05,00,2020-06
239,126,ROBO DE VEHICULO AUTOMOTOR S.V.,2021-05,01,2020-06
240,139,ROBO DE VEHICULO AUTOMOTOR S.V.,2021-05,02,2020-06
241,148,ROBO DE VEHICULO AUTOMOTOR S.V.,2021-05,03,2020-06
242,126,ROBO DE VEHICULO AUTOMOTOR S.V.,2021-05,04,2020-06
243,199,ROBO DE VEHICULO AUTOMOTOR S.V.,2021-05,05,2020-06
244,295,ROBO DE VEHICULO AUTOMOTOR S.V.,2021-05,06,2020-06
245,301,ROBO DE VEHICULO AUTOMOTOR S.V.,2021-05,07,2020-06
246,384,ROBO DE VEHICULO AUTOMOTOR S.V.,2021-05,08,2020-06
247,330,ROBO DE VEHICULO AUTOMOTOR S.V.,2021-05,09,2020-06
248,291,ROBO DE VEHICULO AUTOMOTOR S.V.,2021-05,10,2020-06
249,272,ROBO DE VEHICULO AUTOMOTOR S.V.,2021-05,11,2020-06
250,303,ROBO DE VEHICULO AUTOMOTOR S.V.,2021-05,12,2020-06
251,231,ROBO DE VEHICULO AUTOMOTOR S.V.,2021-05,13,2020-06
252,258,ROBO DE VEHICULO AUTOMOTOR S.V.,2021-05,14,2020-06
253,267,ROBO DE VEHICULO AUTOMOTOR S.V.,2021-05,15,2020-06
254,243,ROBO DE VEHICULO AUTOMOTOR S.V.,2021-05,16,2020-06
255,269,ROBO DE VEHICULO AUTOMOTOR S.V.,2021-05,17,2020-06
256,284,ROBO DE VEHICULO AUTOMOTOR S.V.,2021-05,18,2020-06
257,253,ROBO DE VEHICULO AUTOMOTOR S.V.,2021-05,19,2020-06
258,326,ROBO DE VEHICULO AUTOMOTOR S.V.,2021-05,20,2020-06
259,275,ROBO DE VEHICULO AUTOMOTOR S.V.,2021-05,21,2020-06
260,279,ROBO DE VEHICULO AUTOMOTOR S.V.,2021-05,22,2020-06
261,232,ROBO DE VEHICULO AUTOMOTOR S.V.,2021-05,23,2020-06
262,8,ROBO A REPARTIDOR S.V.,2021-05,01,2020-06
263,10,ROBO A REPARTIDOR S.V.,2021-05,02,2020-06
264,8,ROBO A REPARTIDOR S.V.,2021-05,03,2020-06
265,4,ROBO A REPARTIDOR S.V.,2021-05,04,2020-06
266,8,ROBO A REPARTIDOR S.V.,2021-05,05,2020-06
267,11,ROBO A REPARTIDOR S.V.,2021-05,06,2020-06
268,10,ROBO A REPARTIDOR S.V.,2021-05,07,2020-06
269,8,ROBO A REPARTIDOR S.V.,2021-05,08,2020-06
270,50,ROBO A REPARTIDOR S.V.,2021-05,09,2020-06
271,100,ROBO A REPARTIDOR S.V.,2021-05,10,2020-06
272,75,ROBO A REPARTIDOR S.V.,2021-05,11,2020-06
273,66,ROBO A REPARTIDOR S.V.,2021-05,12,2020-06
274,62,ROBO A REPARTIDOR S.V.,2021-05,13,2020-06
275,49,ROBO A REPARTIDOR S.V.,2021-05,14,2020-06
276,24,ROBO A REPARTIDOR S.V.,2021-05,15,2020-06
277,13,ROBO A REPARTIDOR S.V.,2021-05,16,2020-06
278,23,ROBO A REPARTIDOR S.V.,2021-05,17,2020-06
279,8,ROBO A REPARTIDOR S.V.,2021-05,18,2020-06
280,7,ROBO A REPARTIDOR S.V.,2021-05,19,2020-06
281,2,ROBO A REPARTIDOR S.V.,2021-05,20,2020-06
282,2,ROBO A REPARTIDOR S.V.,2021-05,21,2020-06
283,4,ROBO A REPARTIDOR S.V.,2021-05,22,2020-06
284,10,ROBO A TRANSEUNTE S.V.,2021-05,00,2020-06
285,74,ROBO A TRANSEUNTE S.V.,2021-05,01,2020-06
286,63,ROBO A TRANSEUNTE S.V.,2021-05,02,2020-06
287,52,ROBO A TRANSEUNTE S.V.,2021-05,03,2020-06
288,45,ROBO A TRANSEUNTE S.V.,2021-05,04,2020-06
289,75,ROBO A TRANSEUNTE S.V.,2021-05,05,2020-06
290,85,ROBO A TRANSEUNTE S.V.,2021-05,06,2020-06
291,84,ROBO A TRANSEUNTE S.V.,2021-05,07,2020-06
292,86,ROBO A TRANSEUNTE S.V.,2021-05,08,2020-06
293,94,ROBO A TRANSEUNTE S.V.,2021-05,09,2020-06
