,count,crime,cuadrante,end_date,population,sector,start_date
83,0,HOMICIDIO DOLOSO,C-2.4.14,2021-05,4759.0,ROMA,2020-06
84,0,HOMICIDIO DOLOSO,C-2.4.15,2021-05,4274.0,ROMA,2020-06
85,0,HOMICIDIO DOLOSO,C-2.4.2,2021-05,4132.0,ROMA,2020-06
86,0,HOMICIDIO DOLOSO,C-2.4.3,2021-05,1996.0,ROMA,2020-06
87,0,HOMICIDIO DOLOSO,C-2.4.4,2021-05,2662.0,ROMA,2020-06
88,0,HOMICIDIO DOLOSO,C-2.4.5,2021-05,5796.0,ROMA,2020-06
89,1,HOMICIDIO DOLOSO,C-2.4.6,2021-05,6909.0,ROMA,2020-06
90,1,HOMICIDIO DOLOSO,C-2.4.7,2021-05,4140.0,ROMA,2020-06
91,0,HOMICIDIO DOLOSO,C-2.4.8,2021-05,3403.0,ROMA,2020-06
92,1,HOMICIDIO DOLOSO,C-2.4.9,2021-05,2337.0,ROMA,2020-06
93,2,HOMICIDIO DOLOSO,C-2.5.1,2021-05,8050.0,TLATELOLCO,2020-06
94,1,HOMICIDIO DOLOSO,C-2.5.10,2021-05,11178.0,TLATELOLCO,2020-06
95,0,HOMICIDIO DOLOSO,C-2.5.11,2021-05,8487.0,TLATELOLCO,2020-06
96,0,HOMICIDIO DOLOSO,C-2.5.12,2021-05,8178.0,TLATELOLCO,2020-06
97,1,HOMICIDIO DOLOSO,C-2.5.2,2021-05,4928.0,TLATELOLCO,2020-06
98,2,HOMICIDIO DOLOSO,C-2.5.3,2021-05,2935.0,TLATELOLCO,2020-06
99,2,HOMICIDIO DOLOSO,C-2.5.4,2021-05,10190.0,TLATELOLCO,2020-06
100,1,HOMICIDIO DOLOSO,C-2.5.5,2021-05,5406.0,TLATELOLCO,2020-06
101,2,HOMICIDIO DOLOSO,C-2.5.6,2021-05,16096.0,TLATELOLCO,2020-06
102,0,HOMICIDIO DOLOSO,C-2.5.7,2021-05,6281.0,TLATELOLCO,2020-06
103,1,HOMICIDIO DOLOSO,C-2.5.8,2021-05,4491.0,TLATELOLCO,2020-06
104,1,HOMICIDIO DOLOSO,C-2.5.9,2021-05,10117.0,TLATELOLCO,2020-06
105,3,HOMICIDIO DOLOSO,N-1.1.1,2021-05,15315.0,CUAUTEPEC,2020-06
106,1,HOMICIDIO DOLOSO,N-1.1.10,2021-05,5219.0,CUAUTEPEC,2020-06
107,3,HOMICIDIO DOLOSO,N-1.1.11,2021-05,4959.0,CUAUTEPEC,2020-06
108,1,HOMICIDIO DOLOSO,N-1.1.12,2021-05,13429.0,CUAUTEPEC,2020-06
109,3,HOMICIDIO DOLOSO,N-1.1.13,2021-05,18341.0,CUAUTEPEC,2020-06
110,0,HOMICIDIO DOLOSO,N-1.1.14,2021-05,8607.0,CUAUTEPEC,2020-06
111,2,HOMICIDIO DOLOSO,N-1.1.15,2021-05,14996.0,CUAUTEPEC,2020-06
112,2,HOMICIDIO DOLOSO,N-1.1.16,2021-05,13215.0,CUAUTEPEC,2020-06
113,2,HOMICIDIO DOLOSO,N-1.1.17,2021-05,13514.0,CUAUTEPEC,2020-06
114,6,HOMICIDIO DOLOSO,N-1.1.18,2021-05,30453.0,CUAUTEPEC,2020-06
115,4,HOMICIDIO DOLOSO,N-1.1.19,2021-05,14101.0,CUAUTEPEC,2020-06
116,3,HOMICIDIO DOLOSO,N-1.1.2,2021-05,21058.0,CUAUTEPEC,2020-06
117,4,HOMICIDIO DOLOSO,N-1.1.20,2021-05,16797.0,CUAUTEPEC,2020-06
118,2,HOMICIDIO DOLOSO,N-1.1.21,2021-05,10921.0,CUAUTEPEC,2020-06
119,1,HOMICIDIO DOLOSO,N-1.1.3,2021-05,24271.0,CUAUTEPEC,2020-06
120,0,HOMICIDIO DOLOSO,N-1.1.4,2021-05,9411.0,CUAUTEPEC,2020-06
121,1,HOMICIDIO DOLOSO,N-1.1.5,2021-05,11447.0,CUAUTEPEC,2020-06
122,1,HOMICIDIO DOLOSO,N-1.1.6,2021-05,14525.0,CUAUTEPEC,2020-06
123,0,HOMICIDIO DOLOSO,N-1.1.7,2021-05,2195.0,CUAUTEPEC,2020-06
124,2,HOMICIDIO DOLOSO,N-1.1.8,2021-05,13794.0,CUAUTEPEC,2020-06
125,0,HOMICIDIO DOLOSO,N-1.1.9,2021-05,3929.0,CUAUTEPEC,2020-06
126,2,HOMICIDIO DOLOSO,N-1.2.1,2021-05,16393.0,LINDAVISTA,2020-06
127,2,HOMICIDIO DOLOSO,N-1.2.10,2021-05,8033.0,LINDAVISTA,2020-06
128,2,HOMICIDIO DOLOSO,N-1.2.11,2021-05,3682.0,LINDAVISTA,2020-06
129,0,HOMICIDIO DOLOSO,N-1.2.12,2021-05,4654.0,LINDAVISTA,2020-06
130,3,HOMICIDIO DOLOSO,N-1.2.13,2021-05,5496.0,LINDAVISTA,2020-06
131,1,HOMICIDIO DOLOSO,N-1.2.14,2021-05,5732.0,LINDAVISTA,2020-06
132,3,HOMICIDIO DOLOSO,N-1.2.15,2021-05,10360.0,LINDAVISTA,2020-06
133,0,HOMICIDIO DOLOSO,N-1.2.16,2021-05,3422.0,LINDAVISTA,2020-06
134,0,HOMICIDIO DOLOSO,N-1.2.17,2021-05,10830.0,LINDAVISTA,2020-06
135,1,HOMICIDIO DOLOSO,N-1.2.2,2021-05,33.0,LINDAVISTA,2020-06
136,0,HOMICIDIO DOLOSO,N-1.2.3,2021-05,6234.0,LINDAVISTA,2020-06
137,1,HOMICIDIO DOLOSO,N-1.2.4,2021-05,3105.0,LINDAVISTA,2020-06
138,0,HOMICIDIO DOLOSO,N-1.2.5,2021-05,2029.0,LINDAVISTA,2020-06
139,0,HOMICIDIO DOLOSO,N-1.2.6,2021-05,2588.0,LINDAVISTA,2020-06
140,0,HOMICIDIO DOLOSO,N-1.2.7,2021-05,1931.0,LINDAVISTA,2020-06
141,1,HOMICIDIO DOLOSO,N-1.2.8,2021-05,4937.0,LINDAVISTA,2020-06
142,1,HOMICIDIO DOLOSO,N-1.2.9,2021-05,3179.0,LINDAVISTA,2020-06
143,2,HOMICIDIO DOLOSO,N-1.3.1,2021-05,14187.0,TICOMAN,2020-06
144,0,HOMICIDIO DOLOSO,N-1.3.10,2021-05,17800.0,TICOMAN,2020-06
145,0,HOMICIDIO DOLOSO,N-1.3.11,2021-05,7695.0,TICOMAN,2020-06
146,6,HOMICIDIO DOLOSO,N-1.3.12,2021-05,17795.0,TICOMAN,2020-06
147,0,HOMICIDIO DOLOSO,N-1.3.13,2021-05,17.0,TICOMAN,2020-06
148,0,HOMICIDIO DOLOSO,N-1.3.2,2021-05,8355.0,TICOMAN,2020-06
149,2,HOMICIDIO DOLOSO,N-1.3.3,2021-05,13908.0,TICOMAN,2020-06
