,count,crime,date,population
146,12,ROBO A BORDO DE MICROBUS S.V.,2019-02,8785911
147,9,ROBO A BORDO DE MICROBUS S.V.,2019-03,8785911
148,10,ROBO A BORDO DE MICROBUS S.V.,2019-04,8785911
149,11,ROBO A BORDO DE MICROBUS S.V.,2019-05,8785911
150,9,ROBO A BORDO DE MICROBUS S.V.,2019-06,8785911
151,8,ROBO A BORDO DE MICROBUS S.V.,2019-07,8785911
152,7,ROBO A BORDO DE MICROBUS S.V.,2019-08,8785911
153,4,ROBO A BORDO DE MICROBUS S.V.,2019-09,8785911
154,8,ROBO A BORDO DE MICROBUS S.V.,2019-10,8785911
155,13,ROBO A BORDO DE MICROBUS S.V.,2019-11,8785911
156,8,ROBO A BORDO DE MICROBUS S.V.,2019-12,8785911
157,17,ROBO A BORDO DE MICROBUS S.V.,2020-01,8785911
158,8,ROBO A BORDO DE MICROBUS S.V.,2020-02,8785911
159,12,ROBO A BORDO DE MICROBUS S.V.,2020-03,8785911
160,1,ROBO A BORDO DE MICROBUS S.V.,2020-04,8785911
161,2,ROBO A BORDO DE MICROBUS S.V.,2020-05,8785911
162,4,ROBO A BORDO DE MICROBUS S.V.,2020-06,8785911
163,5,ROBO A BORDO DE MICROBUS S.V.,2020-07,8785911
164,6,ROBO A BORDO DE MICROBUS S.V.,2020-08,8785911
165,6,ROBO A BORDO DE MICROBUS S.V.,2020-09,8785911
166,4,ROBO A BORDO DE MICROBUS S.V.,2020-10,8785911
167,9,ROBO A BORDO DE MICROBUS S.V.,2020-11,8785911
168,9,ROBO A BORDO DE MICROBUS S.V.,2020-12,8785911
169,11,ROBO A BORDO DE MICROBUS S.V.,2021-01,8785911
170,2,ROBO A BORDO DE MICROBUS S.V.,2021-02,8785911
171,6,ROBO A BORDO DE MICROBUS S.V.,2021-03,8785911
172,4,ROBO A BORDO DE MICROBUS S.V.,2021-04,8785911
173,9,ROBO A BORDO DE MICROBUS S.V.,2021-05,8785911
174,37,ROBO A BORDO DE TAXI C.V.,2019-01,8785911
175,48,ROBO A BORDO DE TAXI C.V.,2019-02,8785911
176,37,ROBO A BORDO DE TAXI C.V.,2019-03,8785911
177,24,ROBO A BORDO DE TAXI C.V.,2019-04,8785911
178,33,ROBO A BORDO DE TAXI C.V.,2019-05,8785911
179,26,ROBO A BORDO DE TAXI C.V.,2019-06,8785911
180,31,ROBO A BORDO DE TAXI C.V.,2019-07,8785911
181,34,ROBO A BORDO DE TAXI C.V.,2019-08,8785911
182,29,ROBO A BORDO DE TAXI C.V.,2019-09,8785911
183,36,ROBO A BORDO DE TAXI C.V.,2019-10,8785911
184,37,ROBO A BORDO DE TAXI C.V.,2019-11,8785911
185,25,ROBO A BORDO DE TAXI C.V.,2019-12,8785911
186,25,ROBO A BORDO DE TAXI C.V.,2020-01,8785911
187,18,ROBO A BORDO DE TAXI C.V.,2020-02,8785911
188,16,ROBO A BORDO DE TAXI C.V.,2020-03,8785911
189,4,ROBO A BORDO DE TAXI C.V.,2020-04,8785911
190,6,ROBO A BORDO DE TAXI C.V.,2020-05,8785911
191,8,ROBO A BORDO DE TAXI C.V.,2020-06,8785911
192,4,ROBO A BORDO DE TAXI C.V.,2020-07,8785911
193,13,ROBO A BORDO DE TAXI C.V.,2020-08,8785911
194,9,ROBO A BORDO DE TAXI C.V.,2020-09,8785911
195,16,ROBO A BORDO DE TAXI C.V.,2020-10,8785911
196,19,ROBO A BORDO DE TAXI C.V.,2020-11,8785911
197,14,ROBO A BORDO DE TAXI C.V.,2020-12,8785911
198,16,ROBO A BORDO DE TAXI C.V.,2021-01,8785911
199,20,ROBO A BORDO DE TAXI C.V.,2021-02,8785911
200,15,ROBO A BORDO DE TAXI C.V.,2021-03,8785911
201,29,ROBO A BORDO DE TAXI C.V.,2021-04,8785911
202,21,ROBO A BORDO DE TAXI C.V.,2021-05,8785911
203,60,ROBO A CASA HABITACION C.V.,2019-01,8785911
204,79,ROBO A CASA HABITACION C.V.,2019-02,8785911
205,66,ROBO A CASA HABITACION C.V.,2019-03,8785911
206,63,ROBO A CASA HABITACION C.V.,2019-04,8785911
207,65,ROBO A CASA HABITACION C.V.,2019-05,8785911
208,58,ROBO A CASA HABITACION C.V.,2019-06,8785911
209,71,ROBO A CASA HABITACION C.V.,2019-07,8785911
210,62,ROBO A CASA HABITACION C.V.,2019-08,8785911
211,61,ROBO A CASA HABITACION C.V.,2019-09,8785911
212,62,ROBO A CASA HABITACION C.V.,2019-10,8785911
213,59,ROBO A CASA HABITACION C.V.,2019-11,8785911
214,48,ROBO A CASA HABITACION C.V.,2019-12,8785911
215,66,ROBO A CASA HABITACION C.V.,2020-01,8785911
216,49,ROBO A CASA HABITACION C.V.,2020-02,8785911
217,53,ROBO A CASA HABITACION C.V.,2020-03,8785911
218,45,ROBO A CASA HABITACION C.V.,2020-04,8785911
219,39,ROBO A CASA HABITACION C.V.,2020-05,8785911
220,50,ROBO A CASA HABITACION C.V.,2020-06,8785911
221,49,ROBO A CASA HABITACION C.V.,2020-07,8785911
222,61,ROBO A CASA HABITACION C.V.,2020-08,8785911
223,54,ROBO A CASA HABITACION C.V.,2020-09,8785911
224,47,ROBO A CASA HABITACION C.V.,2020-10,8785911
225,57,ROBO A CASA HABITACION C.V.,2020-11,8785911
226,61,ROBO A CASA HABITACION C.V.,2020-12,8785911
227,60,ROBO A CASA HABITACION C.V.,2021-01,8785911
228,55,ROBO A CASA HABITACION C.V.,2021-02,8785911
229,45,ROBO A CASA HABITACION C.V.,2021-03,8785911
230,34,ROBO A CASA HABITACION C.V.,2021-04,8785911
231,26,ROBO A CASA HABITACION C.V.,2021-05,8785911
232,49,ROBO A CUENTAHABIENTE C.V.,2019-01,8785911
233,51,ROBO A CUENTAHABIENTE C.V.,2019-02,8785911
234,58,ROBO A CUENTAHABIENTE C.V.,2019-03,8785911
235,51,ROBO A CUENTAHABIENTE C.V.,2019-04,8785911
236,63,ROBO A CUENTAHABIENTE C.V.,2019-05,8785911
237,55,ROBO A CUENTAHABIENTE C.V.,2019-06,8785911
238,66,ROBO A CUENTAHABIENTE C.V.,2019-07,8785911
239,65,ROBO A CUENTAHABIENTE C.V.,2019-08,8785911
240,50,ROBO A CUENTAHABIENTE C.V.,2019-09,8785911
241,53,ROBO A CUENTAHABIENTE C.V.,2019-10,8785911
242,35,ROBO A CUENTAHABIENTE C.V.,2019-11,8785911
243,56,ROBO A CUENTAHABIENTE C.V.,2019-12,8785911
244,47,ROBO A CUENTAHABIENTE C.V.,2020-01,8785911
245,38,ROBO A CUENTAHABIENTE C.V.,2020-02,8785911
246,42,ROBO A CUENTAHABIENTE C.V.,2020-03,8785911
247,15,ROBO A CUENTAHABIENTE C.V.,2020-04,8785911
248,17,ROBO A CUENTAHABIENTE C.V.,2020-05,8785911
249,16,ROBO A CUENTAHABIENTE C.V.,2020-06,8785911
250,29,ROBO A CUENTAHABIENTE C.V.,2020-07,8785911
251,32,ROBO A CUENTAHABIENTE C.V.,2020-08,8785911
252,21,ROBO A CUENTAHABIENTE C.V.,2020-09,8785911
253,35,ROBO A CUENTAHABIENTE C.V.,2020-10,8785911
254,30,ROBO A CUENTAHABIENTE C.V.,2020-11,8785911
255,42,ROBO A CUENTAHABIENTE C.V.,2020-12,8785911
256,31,ROBO A CUENTAHABIENTE C.V.,2021-01,8785911
257,35,ROBO A CUENTAHABIENTE C.V.,2021-02,8785911
258,33,ROBO A CUENTAHABIENTE C.V.,2021-03,8785911
259,37,ROBO A CUENTAHABIENTE C.V.,2021-04,8785911
260,25,ROBO A CUENTAHABIENTE C.V.,2021-05,8785911
261,607,ROBO A NEGOCIO C.V.,2019-01,8785911
262,468,ROBO A NEGOCIO C.V.,2019-02,8785911
263,465,ROBO A NEGOCIO C.V.,2019-03,8785911
264,436,ROBO A NEGOCIO C.V.,2019-04,8785911
265,411,ROBO A NEGOCIO C.V.,2019-05,8785911
266,378,ROBO A NEGOCIO C.V.,2019-06,8785911
267,475,ROBO A NEGOCIO C.V.,2019-07,8785911
268,403,ROBO A NEGOCIO C.V.,2019-08,8785911
269,412,ROBO A NEGOCIO C.V.,2019-09,8785911
270,385,ROBO A NEGOCIO C.V.,2019-10,8785911
271,354,ROBO A NEGOCIO C.V.,2019-11,8785911
272,339,ROBO A NEGOCIO C.V.,2019-12,8785911
273,315,ROBO A NEGOCIO C.V.,2020-01,8785911
274,334,ROBO A NEGOCIO C.V.,2020-02,8785911
275,384,ROBO A NEGOCIO C.V.,2020-03,8785911
276,309,ROBO A NEGOCIO C.V.,2020-04,8785911
277,303,ROBO A NEGOCIO C.V.,2020-05,8785911
278,261,ROBO A NEGOCIO C.V.,2020-06,8785911
279,280,ROBO A NEGOCIO C.V.,2020-07,8785911
280,249,ROBO A NEGOCIO C.V.,2020-08,8785911
281,221,ROBO A NEGOCIO C.V.,2020-09,8785911
282,271,ROBO A NEGOCIO C.V.,2020-10,8785911
283,286,ROBO A NEGOCIO C.V.,2020-11,8785911
284,282,ROBO A NEGOCIO C.V.,2020-12,8785911
285,262,ROBO A NEGOCIO C.V.,2021-01,8785911
286,226,ROBO A NEGOCIO C.V.,2021-02,8785911
287,225,ROBO A NEGOCIO C.V.,2021-03,8785911
288,232,ROBO A NEGOCIO C.V.,2021-04,8785911
289,210,ROBO A NEGOCIO C.V.,2021-05,8785911
290,279,ROBO A REPARTIDOR C.V.,2019-01,8785911
291,240,ROBO A REPARTIDOR C.V.,2019-02,8785911
292,271,ROBO A REPARTIDOR C.V.,2019-03,8785911
293,218,ROBO A REPARTIDOR C.V.,2019-04,8785911
294,235,ROBO A REPARTIDOR C.V.,2019-05,8785911
295,193,ROBO A REPARTIDOR C.V.,2019-06,8785911
296,194,ROBO A REPARTIDOR C.V.,2019-07,8785911
297,248,ROBO A REPARTIDOR C.V.,2019-08,8785911
298,222,ROBO A REPARTIDOR C.V.,2019-09,8785911
299,257,ROBO A REPARTIDOR C.V.,2019-10,8785911
300,209,ROBO A REPARTIDOR C.V.,2019-11,8785911
301,202,ROBO A REPARTIDOR C.V.,2019-12,8785911
302,182,ROBO A REPARTIDOR C.V.,2020-01,8785911
303,199,ROBO A REPARTIDOR C.V.,2020-02,8785911
304,159,ROBO A REPARTIDOR C.V.,2020-03,8785911
305,146,ROBO A REPARTIDOR C.V.,2020-04,8785911
306,114,ROBO A REPARTIDOR C.V.,2020-05,8785911
307,133,ROBO A REPARTIDOR C.V.,2020-06,8785911
308,120,ROBO A REPARTIDOR C.V.,2020-07,8785911
309,139,ROBO A REPARTIDOR C.V.,2020-08,8785911
310,152,ROBO A REPARTIDOR C.V.,2020-09,8785911
311,156,ROBO A REPARTIDOR C.V.,2020-10,8785911
312,152,ROBO A REPARTIDOR C.V.,2020-11,8785911
313,183,ROBO A REPARTIDOR C.V.,2020-12,8785911
314,158,ROBO A REPARTIDOR C.V.,2021-01,8785911
315,146,ROBO A REPARTIDOR C.V.,2021-02,8785911
316,171,ROBO A REPARTIDOR C.V.,2021-03,8785911
317,113,ROBO A REPARTIDOR C.V.,2021-04,8785911
318,111,ROBO A REPARTIDOR C.V.,2021-05,8785911
319,64,ROBO A REPARTIDOR S.V.,2019-01,8785911
320,49,ROBO A REPARTIDOR S.V.,2019-02,8785911
321,54,ROBO A REPARTIDOR S.V.,2019-03,8785911
322,54,ROBO A REPARTIDOR S.V.,2019-04,8785911
323,44,ROBO A REPARTIDOR S.V.,2019-05,8785911
324,53,ROBO A REPARTIDOR S.V.,2019-06,8785911
325,48,ROBO A REPARTIDOR S.V.,2019-07,8785911
326,59,ROBO A REPARTIDOR S.V.,2019-08,8785911
327,69,ROBO A REPARTIDOR S.V.,2019-09,8785911
328,68,ROBO A REPARTIDOR S.V.,2019-10,8785911
329,87,ROBO A REPARTIDOR S.V.,2019-11,8785911
330,65,ROBO A REPARTIDOR S.V.,2019-12,8785911
331,49,ROBO A REPARTIDOR S.V.,2020-01,8785911
332,57,ROBO A REPARTIDOR S.V.,2020-02,8785911
333,57,ROBO A REPARTIDOR S.V.,2020-03,8785911
334,32,ROBO A REPARTIDOR S.V.,2020-04,8785911
335,42,ROBO A REPARTIDOR S.V.,2020-05,8785911
336,46,ROBO A REPARTIDOR S.V.,2020-06,8785911
337,34,ROBO A REPARTIDOR S.V.,2020-07,8785911
338,37,ROBO A REPARTIDOR S.V.,2020-08,8785911
339,47,ROBO A REPARTIDOR S.V.,2020-09,8785911
340,48,ROBO A REPARTIDOR S.V.,2020-10,8785911
341,46,ROBO A REPARTIDOR S.V.,2020-11,8785911
342,41,ROBO A REPARTIDOR S.V.,2020-12,8785911
343,52,ROBO A REPARTIDOR S.V.,2021-01,8785911
344,59,ROBO A REPARTIDOR S.V.,2021-02,8785911
345,59,ROBO A REPARTIDOR S.V.,2021-03,8785911
346,44,ROBO A REPARTIDOR S.V.,2021-04,8785911
347,39,ROBO A REPARTIDOR S.V.,2021-05,8785911
348,1092,ROBO A TRANSEUNTE C.V.,2019-01,8785911
349,1431,ROBO A TRANSEUNTE C.V.,2019-02,8785911
350,1352,ROBO A TRANSEUNTE C.V.,2019-03,8785911
351,1261,ROBO A TRANSEUNTE C.V.,2019-04,8785911
352,1229,ROBO A TRANSEUNTE C.V.,2019-05,8785911
353,1067,ROBO A TRANSEUNTE C.V.,2019-06,8785911
354,970,ROBO A TRANSEUNTE C.V.,2019-07,8785911
355,1098,ROBO A TRANSEUNTE C.V.,2019-08,8785911
356,989,ROBO A TRANSEUNTE C.V.,2019-09,8785911
357,1030,ROBO A TRANSEUNTE C.V.,2019-10,8785911
