,count,crime,cuadrante,end_period,population,rank,sector,start_period
139,31,ROBO DE VEHICULO AUTOMOTOR S.V.,O-2.5.10,2021-05,25684.0,4,TEZONCO,2020-06
140,31,ROBO DE VEHICULO AUTOMOTOR S.V.,O-3.4.5,2021-05,18217.0,4,ZAPOTITLA,2020-06
141,4,SECUESTRO,(NO ESPECIFICADO),2021-05,,1,NO ESPECIFICADO,2020-06
142,1,SECUESTRO,N-2.4.5,2021-05,18305.0,2,QUIROGA,2020-06
143,1,SECUESTRO,N-3.2.11,2021-05,7219.0,2,PANTITLAN,2020-06
144,1,SECUESTRO,N-4.5.6,2021-05,4480.0,2,CONSULADO,2020-06
145,1,SECUESTRO,O-1.1.3,2021-05,0.0,2,ABASTO-REFORMA,2020-06
146,1,SECUESTRO,O-2.1.10,2021-05,24085.0,2,OASIS,2020-06
147,1,SECUESTRO,O-2.1.23,2021-05,9252.0,2,OASIS,2020-06
148,1,SECUESTRO,O-2.4.9,2021-05,17817.0,2,TEOTONGO,2020-06
149,1,SECUESTRO,O-3.1.1,2021-05,24021.0,2,MILPA ALTA,2020-06
150,1,SECUESTRO,P-2.4.4,2021-05,14919.0,2,LA RAZA,2020-06
151,1,SECUESTRO,P-2.4.7,2021-05,9231.0,2,LA RAZA,2020-06
152,1,SECUESTRO,S-1.1.14,2021-05,4561.0,2,NARVARTE-ALAMOS,2020-06
153,1,SECUESTRO,S-3.4.1,2021-05,8891.0,2,FUENTE,2020-06
154,1,SECUESTRO,S-3.5.8,2021-05,4558.0,2,HUIPULCO-HOSPITALES,2020-06
155,335,VIOLACION,(NO ESPECIFICADO),2021-05,,1,NO ESPECIFICADO,2020-06
156,10,VIOLACION,O-3.6.7,2021-05,36921.0,2,TEPEPAN,2020-06
157,9,VIOLACION,N-2.3.7,2021-05,36217.0,3,PRADERA,2020-06
158,9,VIOLACION,O-3.6.9,2021-05,35908.0,3,TEPEPAN,2020-06
159,8,VIOLACION,O-3.5.1,2021-05,20258.0,5,LA NORIA,2020-06
160,8,VIOLACION,O-3.6.6,2021-05,28515.0,5,TEPEPAN,2020-06
161,8,VIOLACION,S-3.2.6,2021-05,16976.0,5,SAN JERONIMO,2020-06
162,8,VIOLACION,S-3.2.8,2021-05,23185.0,5,SAN JERONIMO,2020-06
163,8,VIOLACION,S-3.4.10,2021-05,25784.0,5,FUENTE,2020-06
